SKU,Name,Description,Stock,"Weight (kg)",Categories,images
100205,USB2HAB2RA3,"Startech USB2HAB2RA3 3 ft USB2 Cable A Right Angle to B Right Angel Retail",0,0.09,"Cables>External IDE",images/100205.jpg
100374,MCP-220-84701-0N,"Supermicro MCP-220-84701-0N SC847 Internal Drive Tray for one 3.5inch Retail",0,0.50,Accessories>Accessories,images/100374.jpg
100375,MRK-401ST-BK,"Vantec MRK-401ST-BK EZ Swap 43.5 Aluminum Removable Trayless SATA Hard Drive",28,2.00,"Removable Drive>Storage Enclosure - Rack Mount",images/100375.jpg
100543,DISPLPORT3L,"Startech Cable DISPLPORT3L 3ft DisplayPort Cable with Latches Retail",20,0.16,"Cables>External IDE",images/100543.jpg
100544,MDISPLPORT3,"Startech Cable MDISPLPORT3 3 ft Mini DisplayPort Cable M M Retail",0,0.08,"Cables>External IDE",images/100544.jpg
100545,MDISPLPORT6,"Startech Cable MDISPLPORT6 6 ft Mini DisplayPort Cable M M Retail",0,0.15,"Cables>External IDE",images/100545.jpg
100738,MCP-290-00059-0B,"Supermicro Accessory RAIL SET+HANDLES QUICK QUICK OPTIONAL 4U 17.2W TOWER RTL",18,7.00,Accessories>Accessories,images/100738.jpg
100769,RM41300-F1,"CHENBRO RM 4U Open-Bay Rackmount RM413 No PS 0*BP Tray 2*USB 1 Front Door",0,45.00,"Cases>Rackmount Chassis Accessory",images/100769.jpg
100923,45PATCH5WH,"Startech 45PATCH5WH 5 ft White Snagless Cat5e UTP Patch Cable Retail",0,0.18,Cables>Networking,images/100923.jpg
100924,45PATCH7WH,"Startech 45PATCH7WH 7 ft White Snagless Cat5e UTP Patch Cable Retail",0,0.18,Cables>Networking,images/100924.jpg
100926,BLANKB1,"Startech BLANKB1 1U Rack Blank Panel for 19in Server Racks and Cabinets Retail",0,1.10,Accessories>Accessories,images/100926.jpg
